ptsdisk-09102015

 ,"ptsdisk"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,1024MB
Disk,39GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsdisk"
"AIO-Stress - Random Write",79.17
"FS-Mark - 1000 Files, 1MB Size",21.55
"Dbench - 12 Clients",107.94
"Dbench - 48 Clients",134.09
"Dbench - 128 Clients",86.49
"Dbench - 1 Clients",28.89
"IOzone - 8GB Read Performance",89.28
"IOzone - 8GB Write Performance",58.50
"Threaded I/O Tester - 64MB Random Read - 32 Threads",37.11
"Threaded I/O Tester - 64MB Random Write - 32 Threads",2.97
"Compile Bench - Test: Compile",66.20
"Compile Bench - Test: Initial Create",50.92
"Compile Bench - Test: Read Compiled Tree",19.62
"PostMark - Disk Transaction Performance",564
"Gzip Compression - 2GB File Compression",25.76
"Apache Benchmark - Static Web Page Serving",5857.24

