ptstiobench-13102015

 ,"ptstiobench"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 1024 MB RAM
Disk,40GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-65-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptstiobench"
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",1529.08
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",1735.98
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",1567.43
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",1364.06
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",1763.83
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",115.87
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",111.21
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",111.62
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 16",1500.54
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 32",114.15
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 16",119.51
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 32",110.55
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 4",0.54
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 8",0.97
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 4",0.54
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 8",0.96
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 16",111.32
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 32",111.24
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 16",111.38
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 32",111.59
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 4",0.53
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 8",0.99
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 4",0.51
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 8",0.97
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 16",1.67
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 32",2.81
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 16",1.67
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 32",2.71
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 16",1.69
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 32",2.74
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 16",1.72
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 32",2.62
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 4",1251.21
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 8",1304.59
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 4",1170.87
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 8",1181.67
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 4",1065.10
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",73.61
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 4",38.42
