ptsmemory-10092015

 ,"ptsmemory"
Processor,Intel Core 2 Duo P9xxx @ 2.39GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 1024 MB RAM
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.3.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"ptsmemory"
"RAMspeed SMP - Integer Add",1824.55
"RAMspeed SMP - Integer Copy",1874.28
"RAMspeed SMP - Integer Scale",2003.20
"RAMspeed SMP - Floating-Point Add",2052.44
"Stream - Add",1952.35
"Stream - Copy",1878.89
"Stream - Scale",1888.09
"CacheBench - Read Cache",1539.85
"CacheBench - Write Cache",5034.58

