ptscpu-31082015

 ,"Intel Core 2 Duo P9xxx"
Processor,Intel Core 2 Duo P9xxx @ 2.39GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,1024MB
Disk,40GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-62-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"Intel Core 2 Duo P9xxx"
"Stream - Type: Copy",2100.39
"Stream - Type: Scale",2136.97
"Stream - Type: Triad",2267.49
"Stream - Type: Add",2269.36
"NAS Parallel Benchmarks - Test / Class: LU.A",1046.61
"Timed MAFFT Alignment - Multiple Sequence Alignment",46.77
"Gcrypt Library - CAMELLIA256-ECB Cipher",4887
"TSCP - AI Chess Performance",438308
"John The Ripper - Traditional DES",2286667
"John The Ripper - Blowfish",588
"x264 - H.264 Video Encoding",14.53
"GraphicsMagick - HWB Color Space",53
"GraphicsMagick - Local Adaptive Thresholding",41
"GraphicsMagick - Sharpen",10
"GraphicsMagick - Resizing",32
"Himeno Benchmark - Poisson Pressure Solver",681.77
"7-Zip Compression - Compress Speed Test",1709
"C-Ray - Total Time",217.66
"Parallel BZIP2 Compression - 256MB File Compression",67.34
"Smallpt - Global Illumination Renderer; 100 Samples",1101
"Crafty - Elapsed Time",158.94
"FLAC Audio Encoding - WAV To FLAC",27.95
"LAME MP3 Encoding - WAV To MP3",31.80
"FFmpeg - H.264 HD To NTSC DV",63.87
"Tachyon - Total Time",179.01
"OpenSSL - RSA 4096-bit Performance",46.23
"Apache Benchmark - Static Web Page Serving",3790.10

