ptstiobench-01092015

 ,"ptscpu","ptsdisk","ptsmemory","ptstiobench"
Processor,Intel Core 2 Duo P9xxx @ 2.39GHz (1 Core),Intel Core 2 Duo P9xxx @ 2.39GHz (1 Core),Intel Core 2 Duo P9xxx @ 2.39GHz (1 Core),Intel Core 2 Duo P9xxx @ 2.39GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC
Memory,1024MB,1024MB,1024MB,1024MB
Disk,40GB,40GB,40GB,40GB
Graphics,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446
Network,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device
OS,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04
Kernel,3.13.0-62-generic (x86_64),3.13.0-62-generic (x86_64),3.13.0-62-generic (x86_64),3.13.0-62-generic (x86_64)
Compiler,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4
File-System,ext4,ext4,ext4,ext4

 ,"ptscpu","ptsdisk","ptsmemory","ptstiobench"
"Stream - Type: Copy",2100.39
"Stream - Type: Scale",2136.97
"Stream - Type: Triad",2267.49
"Stream - Type: Add",2269.36
"NAS Parallel Benchmarks - Test / Class: LU.A",1046.61
"Timed MAFFT Alignment - Multiple Sequence Alignment",46.77
"Gcrypt Library - CAMELLIA256-ECB Cipher",4887
"TSCP - AI Chess Performance",438308
"John The Ripper - Traditional DES",2286667
"John The Ripper - Blowfish",588
"x264 - H.264 Video Encoding",14.53
"GraphicsMagick - HWB Color Space",53
"GraphicsMagick - Local Adaptive Thresholding",41
"GraphicsMagick - Sharpen",10
"GraphicsMagick - Resizing",32
"Himeno Benchmark - Poisson Pressure Solver",681.77
"7-Zip Compression - Compress Speed Test",1709
"C-Ray - Total Time",217.66
"Parallel BZIP2 Compression - 256MB File Compression",67.34
"Smallpt - Global Illumination Renderer; 100 Samples",1101
"Crafty - Elapsed Time",158.94
"FLAC Audio Encoding - WAV To FLAC",27.95
"LAME MP3 Encoding - WAV To MP3",31.80
"FFmpeg - H.264 HD To NTSC DV",63.87
"Tachyon - Total Time",179.01
"OpenSSL - RSA 4096-bit Performance",46.23
"Apache Benchmark - Static Web Page Serving",3790.10,3720.68
"AIO-Stress - Random Write",11.84
"SQLite - Timed SQLite Insertions",649.86
"FS-Mark - 1000 Files, 1MB Size",10.75
"Dbench - 12 Clients",104.50
"Dbench - 48 Clients",59.74
"Dbench - 128 Clients",5.04
"Dbench - 1 Clients",70.68
"IOzone - 8GB Read Performance",25.72
"IOzone - 8GB Write Performance",51.17
"Threaded I/O Tester - 64MB Random Read - 32 Threads",0.23
"Threaded I/O Tester - 64MB Random Write - 32 Threads",0.56
"Compile Bench - Test: Compile",16.94
"Compile Bench - Test: Initial Create",10.78
"Compile Bench - Test: Read Compiled Tree",2.95
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",27.33
"PostMark - Disk Transaction Performance",103
"Gzip Compression - 2GB File Compression",216.34
"RAMspeed SMP - Integer Add",2033.17
"RAMspeed SMP - Integer Copy",2093.04
"RAMspeed SMP - Integer Scale",2075.83
"RAMspeed SMP - Floating-Point Add",2128.66
"Stream - Add",2271.32
"Stream - Copy",2105.49
"Stream - Scale",2141.01
"CacheBench - Read Cache",1793.83
"CacheBench - Write Cache",7943.70
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",1104.26
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",927.63
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",914.98
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",772.38
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",920.89
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",2.02
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",5.21
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",21.13
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 16",1009.25
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 32",3.20
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 16",1.49
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 32",0.80
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 4",0.88
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 8",1.35
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 4",0.96
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 8",1.17
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 16",1.90
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 32",4.22
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 16",2.10
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 32",3.36
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 4",1.90
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 8",2.23
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 4",1.93
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 8",2.36
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 16",3.13
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 32",3.23
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 16",2.71
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 32",0.89
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 16",0.58
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 32",1.66
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 16",2.71
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 32",3.04
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 4",1010.56
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 8",937.73
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 4",898.19
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 8",871.88
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 4",827.68
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",1.18
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 4",1.53
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 8",0.47
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 16",972.94
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 32",2.72
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 16",1.49
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 32",0.39
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 4",2.00
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 8",2.77
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 4",2.01
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 8",2.39
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 16",0.46
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 32",0.32
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 16",0.24
