ptscpu-31082015

 ,"ptscpu"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.2
Chipset,Intel 440FX- 82441FX PMC
Memory,1024MB
Disk,40GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-62-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptscpu"
"Stream - Type: Copy",6471.05
"Stream - Type: Scale",6712.53
"Stream - Type: Triad",7911.88
"Stream - Type: Add",7346.47
"NAS Parallel Benchmarks - Test / Class: LU.A",2642.01
"Timed MAFFT Alignment - Multiple Sequence Alignment",27.19
"Gcrypt Library - CAMELLIA256-ECB Cipher",3584
"TSCP - AI Chess Performance",692280
"John The Ripper - Traditional DES",1754667
"John The Ripper - Blowfish",891
"x264 - H.264 Video Encoding",25.96
"GraphicsMagick - HWB Color Space",85
"GraphicsMagick - Local Adaptive Thresholding",70
"GraphicsMagick - Sharpen",16
"GraphicsMagick - Resizing",51
"Himeno Benchmark - Poisson Pressure Solver",1307.97
"7-Zip Compression - Compress Speed Test",3273
"C-Ray - Total Time",124.47
"Parallel BZIP2 Compression - 256MB File Compression",43.88
"Smallpt - Global Illumination Renderer; 100 Samples",669
"Crafty - Elapsed Time",92.96
"FLAC Audio Encoding - WAV To FLAC",10.78
"LAME MP3 Encoding - WAV To MP3",19.48
"FFmpeg - H.264 HD To NTSC DV",35.42
"Tachyon - Total Time",94.12
"OpenSSL - RSA 4096-bit Performance",71.30
"Apache Benchmark - Static Web Page Serving",6350.59

